,acc,f1
0,0.4985,0.29909154437456326
1,0.4565,0.6268451767936835
2,0.9415,0.9378651088688263
3,0.584,0.5123094958968347
4,0.141,0.1627680311890838
5,0.4985,0.6452069331446764
6,0.507,0.15870307167235495
7,0.8955,0.9053870529651425
8,0.7365,0.7914523149980214
9,0.8055,0.8371703641691084
