,window_size,precision,recall,f1_score
0.0,0.0,0.0,0.0,0.0
0.1,0.1,0.020378457059679767,0.7777777777777778,0.03971631205673759
0.2,0.2,0.009162303664921465,0.7777777777777778,0.018111254851228976
0.30000000000000004,0.30000000000000004,0.005462348809988295,0.7777777777777778,0.01084850833010461
0.4,0.4,0.0039447731755424065,0.7777777777777778,0.00784973366975049
0.5,0.5,0.003329633740288568,0.8333333333333334,0.006632765863365023
0.6000000000000001,0.6000000000000001,0.00347009593794652,0.9444444444444444,0.006914785438275371
0.7000000000000001,0.7000000000000001,0.003269230769230769,0.9444444444444444,0.006515906477577616
0.8,0.8,0.0032888726475424814,1.0,0.00655618284465489
0.9,0.9,0.0032131381649410924,1.0,0.006405693950177936
