,window_size,precision,recall,f1_score
0.1,0.1,0.006625258799171843,0.8888888888888888,0.013152486642005754
0.2,0.2,0.011244979919678716,0.7777777777777778,0.022169437846397466
0.30000000000000004,0.30000000000000004,0.016260162601626018,0.7777777777777778,0.03185437997724687
0.4,0.4,0.02204724409448819,0.7777777777777778,0.042879019908116385
0.5,0.5,0.034759358288770054,0.7222222222222222,0.0663265306122449
0.6,0.6,0.048,0.6666666666666666,0.08955223880597014
0.7000000000000001,0.7000000000000001,0.047337278106508875,0.4444444444444444,0.0855614973262032
0.8,0.8,0.061068702290076333,0.4444444444444444,0.10738255033557047
0.9,0.9,0.07407407407407407,0.4444444444444444,0.12698412698412698
1.0,1.0,0.08888888888888889,0.4444444444444444,0.14814814814814814
1.1,1.1,0.11428571428571428,0.4444444444444444,0.18181818181818182
1.2000000000000002,1.2000000000000002,0.125,0.3888888888888889,0.1891891891891892
1.3000000000000003,1.3000000000000003,0.14893617021276595,0.3888888888888889,0.2153846153846154
1.4000000000000001,1.4000000000000001,0.1891891891891892,0.3888888888888889,0.2545454545454545
1.5000000000000002,1.5000000000000002,0.25,0.3888888888888889,0.30434782608695654
1.6,1.6,0.3181818181818182,0.3888888888888889,0.35
1.7000000000000002,1.7000000000000002,0.2857142857142857,0.3333333333333333,0.3076923076923077
1.8000000000000003,1.8000000000000003,0.35294117647058826,0.3333333333333333,0.34285714285714286
1.9000000000000001,1.9000000000000001,0.375,0.3333333333333333,0.35294117647058826
2.0,2.0,0.4,0.3333333333333333,0.36363636363636365
2.1,2.1,0.4,0.3333333333333333,0.36363636363636365
2.2,2.2,0.42857142857142855,0.3333333333333333,0.375
2.3000000000000003,2.3000000000000003,0.42857142857142855,0.3333333333333333,0.375
2.4000000000000004,2.4000000000000004,0.46153846153846156,0.3333333333333333,0.3870967741935484
2.5000000000000004,2.5000000000000004,0.5,0.3333333333333333,0.4
2.6,2.6,0.4444444444444444,0.2222222222222222,0.2962962962962963
2.7,2.7,0.4444444444444444,0.2222222222222222,0.2962962962962963
2.8000000000000003,2.8000000000000003,0.4444444444444444,0.2222222222222222,0.2962962962962963
2.9000000000000004,2.9000000000000004,0.5714285714285714,0.2222222222222222,0.32
3.0000000000000004,3.0000000000000004,0.5714285714285714,0.2222222222222222,0.32
3.1,3.1,0.5714285714285714,0.2222222222222222,0.32
3.2,3.2,0.5714285714285714,0.2222222222222222,0.32
3.3000000000000003,3.3000000000000003,0.8,0.2222222222222222,0.34782608695652173
3.4000000000000004,3.4000000000000004,0.8,0.2222222222222222,0.34782608695652173
3.5000000000000004,3.5000000000000004,0.8,0.2222222222222222,0.34782608695652173
3.6,3.6,0.8,0.2222222222222222,0.34782608695652173
3.7,3.7,0.8,0.2222222222222222,0.34782608695652173
3.8000000000000003,3.8000000000000003,0.8,0.2222222222222222,0.34782608695652173
3.9000000000000004,3.9000000000000004,0.8,0.2222222222222222,0.34782608695652173
4.0,4.0,0.8,0.2222222222222222,0.34782608695652173
4.1,4.1,0.8,0.2222222222222222,0.34782608695652173
4.2,4.2,0.6666666666666666,0.1111111111111111,0.19047619047619047
4.3,4.3,0.6666666666666666,0.1111111111111111,0.19047619047619047
4.3999999999999995,4.3999999999999995,0.6666666666666666,0.1111111111111111,0.19047619047619047
4.5,4.5,0.6666666666666666,0.1111111111111111,0.19047619047619047
4.6,4.6,1.0,0.1111111111111111,0.2
4.7,4.7,1.0,0.1111111111111111,0.2
4.8,4.8,1.0,0.1111111111111111,0.2
4.9,4.9,1.0,0.1111111111111111,0.2
5.0,5.0,1.0,0.1111111111111111,0.2
5.1,5.1,1.0,0.05555555555555555,0.10526315789473684
5.2,5.2,1.0,0.05555555555555555,0.10526315789473684
5.3,5.3,1.0,0.05555555555555555,0.10526315789473684
5.4,5.4,1.0,0.05555555555555555,0.10526315789473684
5.5,5.5,0.0,0.0,0.0
5.6,5.6,0.0,0.0,0.0
5.7,5.7,0.0,0.0,0.0
5.8,5.8,0.0,0.0,0.0
5.9,5.9,0.0,0.0,0.0
6.0,6.0,0.0,0.0,0.0
6.1,6.1,0.0,0.0,0.0
6.2,6.2,0.0,0.0,0.0
6.3,6.3,0.0,0.0,0.0
6.4,6.4,0.0,0.0,0.0
6.5,6.5,0.0,0.0,0.0
6.6,6.6,0.0,0.0,0.0
6.7,6.7,0.0,0.0,0.0
6.8,6.8,0.0,0.0,0.0
6.9,6.9,0.0,0.0,0.0
7.0,7.0,0.0,0.0,0.0
7.1,7.1,0.0,0.0,0.0
7.2,7.2,0.0,0.0,0.0
7.3,7.3,0.0,0.0,0.0
7.4,7.4,0.0,0.0,0.0
7.5,7.5,0.0,0.0,0.0
7.6,7.6,0.0,0.0,0.0
7.7,7.7,0.0,0.0,0.0
7.8,7.8,0.0,0.0,0.0
7.9,7.9,0.0,0.0,0.0
8.0,8.0,0.0,0.0,0.0
8.1,8.1,0.0,0.0,0.0
8.2,8.2,0.0,0.0,0.0
8.3,8.3,0.0,0.0,0.0
8.4,8.4,0.0,0.0,0.0
8.5,8.5,0.0,0.0,0.0
8.6,8.6,0.0,0.0,0.0
8.7,8.7,0.0,0.0,0.0
8.8,8.8,0.0,0.0,0.0
8.9,8.9,0.0,0.0,0.0
9.0,9.0,0.0,0.0,0.0
9.1,9.1,0.0,0.0,0.0
9.2,9.2,0.0,0.0,0.0
9.3,9.3,0.0,0.0,0.0
9.4,9.4,0.0,0.0,0.0
9.5,9.5,0.0,0.0,0.0
9.6,9.6,0.0,0.0,0.0
9.700000000000001,9.700000000000001,0.0,0.0,0.0
9.8,9.8,0.0,0.0,0.0
9.9,9.9,0.0,0.0,0.0
