,window_size,precision,recall,f1_score
0.0,0.0,0.0032,1.0,0.006379585326953748
0.05,0.05,0.003219459846181363,1.0,0.006418256373685149
0.1,0.1,0.0031296023564064803,0.9444444444444444,0.006238532110091743
0.15000000000000002,0.15000000000000002,0.003098373353989156,0.8888888888888888,0.0061752219220378235
0.2,0.2,0.00329692973418504,0.8888888888888888,0.006569492917265448
0.25,0.25,0.0035022180714452487,0.8333333333333334,0.006975122064636131
0.30000000000000004,0.30000000000000004,0.005063291139240506,0.7777777777777778,0.01006108515989939
0.35000000000000003,0.35000000000000003,0.00796812749003984,0.7777777777777778,0.015774647887323943
0.4,0.4,0.01181434599156118,0.7777777777777778,0.023275145469659187
0.45,0.45,0.013539651837524178,0.7777777777777778,0.026615969581749048
0.5,0.5,0.01564245810055866,0.7777777777777778,0.03066812705366922
0.55,0.55,0.017879948914431672,0.7777777777777778,0.03495630461922597
0.6000000000000001,0.6000000000000001,0.021116138763197588,0.7777777777777778,0.041116005873715125
0.65,0.65,0.02564102564102564,0.7777777777777778,0.04964539007092199
0.7000000000000001,0.7000000000000001,0.031042128603104215,0.7777777777777778,0.05970149253731343
0.75,0.75,0.039886039886039885,0.7777777777777778,0.07588075880758807
0.8,0.8,0.050980392156862744,0.7222222222222222,0.09523809523809523
0.8500000000000001,0.8500000000000001,0.05194805194805195,0.4444444444444444,0.09302325581395349
0.9,0.9,0.08860759493670886,0.3888888888888889,0.14432989690721648
0.9500000000000001,0.9500000000000001,0.2692307692307692,0.3888888888888889,0.3181818181818182
